"vac_title","fulltext","Seniority"
"Einkäufer (m/w) Material und Dienstleistungen","Jobs per E-Mail Enercity AG Einkäufer (m/w) Material und Dienstleistungen * keine Angabe * Feste Anstellung * Vollzeit * Die enercity AG gehört mit ihrem umfangreichen Erzeugungsportfolio zu Deutschlands größten und nachhaltigsten Energiedienstleistern. Energiewende, Digitalisierung und Dezentralisierung - der Energiemarkt entwickelt sich in rasantem Tempo. Möchten Sie die digitale Energiewelt von morgen mitgestalten? Freuen Sie sich auf neue Herausforderungen in einem zukunftsorientierten Unternehmen und begeistern Sie uns mit Ihren Ideen. Was suchen wir? Einkäufer (m/w) Material und Dienstleistungen Hannover Was erwartet Sie? * Als Einkäufer (m/w) stellen Sie den Bedarf unserer Fachbereiche an Material und Dienstleistungen, inklusive IT-Dienstleistungen, sicher und haben dabei Qualität, Quantität, Termintreue und günstige Konditionen im Fokus. * Die Vorbereitung, Durchführung und Dokumentation von Ausschreibungen und Auftragsverhandlungen gehören zu Ihrem Verantwortungsbereich. * Darüber hinaus zählen zu Ihrem Ergebnisbereich die strategische Betreuung von Warengruppen und Lieferanten. * Sie sind zuständig für die Datenpflege und Bestellabwicklung in den vorhandenen EDV-Systemen wie SAP MM. * Abgerundet werden Ihre Aufgaben durch Ihre Unterstützung bei übergeordneten Aufgabenstellungen wie beispielsweise der kontinuierlichen Verbesserung von Prozessen sowie der Leitung und Mitarbeit in Arbeitskreisen. Was bringen Sie mit? * Sie verfügen über ein erfolgreich abgeschlossenes wissenschaftliches Hochschulstudium oder bringen langjährige Berufserfahrung mit. * Im Einkauf können Sie mehrjährige Erfahrung sowie einen sicheren Umgang mit entsprechenden IT-Systemen vorweisen. * Sie kennen das relevante Vertragsrecht. Umfassende Kenntnisse des deutschen und europäischen Vergaberechtes sind von Vorteil. * Ihr unternehmerisches Denken sowie Ihre ausgeprägte Verhandlungs- und Kommunikationsfähigkeit zeichnen Sie aus. * Wenn Sie außerdem eine hohe strategische Kompetenz, Genauigkeit und Teamfähigkeit mitbringen sowie gute Kenntnisse in englischer Sprache besitzen, dann bewerben Sie sich gern! Kontakt Wenn Sie Fragen zum Unternehmen oder Aufgabengebiet haben, freut sich Frau Julia Gottschalk unter +49 511 430 22 75 auf Ihren Anruf. Bewerben Sie sich bitte online über karriere.enercity.de auf die Ausschreibung 2018/00587. Standort Enercity AG Jetzt bewerben Merken Sie möchten sich dieses Stellenangebot per Email senden?","Senior"
"Physiotherapeut (Physiotherapeut/in (Sportphysiotherapie))","Physiotherapeut (Physiotherapeut/in (Sportphysiotherapie)) directhire Stellenangebotsbeschreibung: Voll- od Teilzeit möglich Manuelle Therapie Krankengymnastik auf Neurophysiologischer Grundlage PNF Sportphysiotherapie Krankengymnastik am Gerät KGG Medizinische Trainingstherapie Naturmoorpackung Heisse Rolle Eisanwendung Massagen, Hotstone Kinesiotaping parttime fulltime Gewünschte Bewerbungsarten: per E-Mail, schriftlich, über die JOBBÖRSE Internetadresse: http://www.arsvitae-sprudelhof.de Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1163303435-S 10000-1163303435-S","Medior"
"Dachdecker Meister Zimmermann Dachrinne Erneuerung Innenbau","Dachdecker Meister Zimmermann Dachrinne Erneuerung Innenbau * * * * * * * * * * * * * * Ort: 31655 Niedersachsen - Stadthagen Erstellungsdatum: 10.12.2018 Anzeigennummer: 1009753530 Art: Dachdecker Schlagwörter: Gerüstbau, Meister, Montage, Putz, Trockenbau, Zimmermann Beschreibung * Bedachungen aller Art *Dachumdeckungen, -Reparaturen *dachrinnen Regenrinne montage Austausch * Dachisolierungen * Flachdachsanierungen * Wärmeisolierungen * Kaminverkleidungen * Eigener Gerüstbau * Fassadenverkleidungen * Bauflaschnerei & Dachrinnen HWO * Sämtliche Putz- innen÷außen Malerarbeiten * Trockenbau Ziegel , Schiefer, schweissbahn etc. - Holzbau, Dacharbeiten, Eindeckungen - Dach Rinnen und Metall abdeckungen. - Dachverlängerungen und Umbauten - Fachwerk- und Ständerbauweise - Schieferarbeiten Naturschiefer - Gauben, Balkone, Vordächer etc. - Flachdach und Balkonabdichtungen - Dachfenstereinbauten jeder Variante - Terrassenüberdachungen, - Gartentore und Holzzäune - Carports und Gartenlauben - Garten- und Laubenmöbel auf Maß - Balkonbau und Balkonverkleidungen - Außentreppen und Tore/Türen aller Art -sie ereichen 24 stunden Viele dank..Funk:015171517625 Rechtliche Angaben Impressum Angaben gemäß § 5 TMG: Dachdecker Kontakt: Telefon: +4915145118446 E-Mail:speedservicebaukf@gmail.com Umsatzsteuer: Umsatzsteuer-Identifikationsnummer gemäß §27 a Umsatzsteuergesetz: DE 999 999 999 Aufsichtsbehörde: Die Europäische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) Rechtliche Angaben * * Zur Merkliste hinzufügen Dach aus blech spz. Bndrei:B Folgen * DA Dach aus blech spz. andreas.b Gewerblicher Nutzer Aktiv seit 27.06.2018 * 01517... anzeigen __________________________________________________ * * * 20 Anzeigen online Fehler","Senior"
"Rezeptionist/in","Rezeptionist/in ab 1. Dezember 2018 Für unser Johannesbad Hotel St. Georg (www.stgeorg.com) suchen wir ab 1. Dezember 2018 eine/n motivierte/n Rezeptionistin/en in Jahresanstellung mit Fachausbildung oder Praxis. Wir bieten Ihnen eine geregelte 5-Tage-Woche bei 45 Stunden, diverse Mitarbeitervergünstigungen und freie Verpflegung Eine Unterbringung im Personalzimmer ist vorübergehend möglich. Die Entlohnung erfolgt auf Basis KV, eine Überzahlung ist je nach Qualifikation möglich. Wir freuen uns auf Ihre Bewerbung an: Frau Alexandra Hartl alexandra.hartl@johannesbad.com Tel: 06432-6715-570 Bitte beachten Sie bei Bewerbungen per Email, dass ausschließlich Unterlagen im pdf-Format berücksichtigt werden können. Infos zum Betrieb","Junior"
"Hebamme/Entbindungspfleger für den Kreißsaal","Hebamme/Entbindungspfleger für den Kreißsaal Stuttgart FULL_TIME Klinikum Stuttgart 2018-10-20 Das Klinikum Stuttgart mit seinen drei Häusern, Katharinenhospital, Krankenhaus Bad Cannstatt und Olgahospital, ist ein Krankenhaus der Maximalversorgung und ein akademisches Lernkrankenhaus der Universität Tübingen mit Rund 2.200 Betten, 50 Kliniken und Instituten sowie rund 7.000 Beschäftigten. Ggf. Standort: Olgahospital und Frauenklinik Berufsbezeichnung: Hebamme/Entbindungspfleger für den Kreißsaal Klinik / Zentrum: Zentrum für Kinder-, Jugend- und Frauenmedizin Zu besetzen ab: dem frühestmöglichen Zeitpunkt Die Frauenklinik gehört mit jährlich ca. 3.000 Geburten zu den großen Einricht...","Medior"
"Mitarbeiter/in für die Warenverräumung in Kreiensen gesucht","Mitarbeiter/in für die Warenverräumung in Kreiensen gesucht * * Ort: 37547 Niedersachsen - Kreiensen Erstellungsdatum: 30.11.2018 Anzeigennummer: 1002626995 Stundenlohn (€): 8,84 Berufserfahrung: Ohne Berufserfahrung Schlagwörter: Minijob, Teilzeit Beschreibung Unser Team sucht Verstärkung! Sie sind zuverlässig, freundlich und arbeiten gerne eigenständig? Sie haben Grundkenntnisse im Umgang mit Smartphone und/oder Tablet und sind mindestens 16 Jahre alt? Dann bewerben Sie sich bei uns unter www.sigsalesjobs.de. Wir bieten eine interessante und abwechslungsreiche Tätigkeit in der Warenverräumung auf Minijob Basis oder in Teilzeit mit flexiblen Arbeitszeiten und ausführlicher Einarbeitung in einem angenehmen Arbeitsklima. Die Absprache des Tätigkeitsfeldes sowie der Einsatztage und -zeiten erfolgt in Absprache mit unserem Außendienstmitarbeiter. Wir freuen uns auf Ihre Bewerbung! Aus Verwaltungs- und Kostengründen können per Post oder Fax eingehende Bewerbungen nicht zurückgesandt werden. Die Unterlagen werden selbstverständlich ordnungsgemäß vernichtet. Rechtliche Angaben SIG Sales GmbH & Co. KG Pforzheimer Str. 128 76275 Ettlingen www.sigsalesjobs.de E-Mail: personal_ge@sigeurope.com Geschäftsführung: Jürgen Müller, Andreas Henrich, Benjamin Bonitz Sitz der Gesellschaft: 76275 Ettlingen, HRB 362268 Mannheim, HRA 361079 Mannheim USt-IdNr. DE213351375 St-Nr.31036/20366 Rechtliche Angaben * * Zur Merkliste hinzufügen SIG Sales GmbH & Co. KG Folgen * EW Edeltraut Winkler Gewerblicher Nutzer Aktiv seit 02.11.2012 * 07243... anzeigen __________________________________________________ * * * 147 Anzeigen online Fehler","Junior"
"Bürokraft (w/m) auf Minijob Basis","Bürokraft (w/m) auf Minijob Basis gefunden bei Matthias Baumgart Facility Management Stahnsdorf, Brandenburg Matthias Baumgart Facility Management 235441249 Bürokraft (w/m) auf Minijob Basis Allgemeines: Sie sind auf der Suche nach einer neuen Herausforderung? Dann sind Sie bei uns genau richtig. Wir sind ein junges dynamisches Unternehmen und suchen ab August eine zuverlässige Assistenz der Geschäftsführung, vorerst auf Minijob Basis. (ca. 10 Stunden wöchentlich). Eine Übernahme auf Teilzeit kann bei steigenden Bedarf erfolgen. (4 Stunden täglich) Anforderungen: Das sind Ihre Aufgaben: Eigenständige Unterstützung im operativen Tagesgeschäft Datenbankpflege Allgemeine Büroarbeiten Das wünschen wir uns von Ihnen: erfolgreich abgeschlossene kaufmännische Ausbildung Loyalität, Diskretion sowie verantwortungsvoller Umgang mit vertraulichen Informationen selbständiges Arbeiten, sehr gute Kommunikations- und Organisationsfähigkeit hohe Einsatzbereitschaft und Flexibilität sicherer Umgang mit MS Office Leistungen: Wir bieten Ihnen ein hochdynamisches Umfeld mit spannenden Herausforderungen in einem internationalen... Wir haben Kekse, Kaffee und coole Projekte ; ) Wir bieten Ihnen: eine ausführliche Einarbeitung abwechslungsreiche Tätigkeiten die Möglichkeit, aktiv an der Unternehmensentwicklung mitzuwirken Übernahme auf Teilzeit möglich Bewerbungsunterlagen: Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Bewerbung per @Mail. Kontakt: Matthias Baumgart Facility Management Striewitzweg 20 14532 Stahnsdorf E-Mail: Office Management www.baumgart-fm.de Mehr über Matthias Baumgart Facility Management [ hier ].","Junior"
"Kaufmann/-frau im Groß- und Außenhandel","WILH. MÜLLER GmbH & Co. KG Personalabteilung Job Description Wir bieten ab 1. September 2019 zwei Ausbildungsplätze zum/zur Kaufmann/-frau im Groß- und Außenhandel Zu den typischen Aufgaben in diesem Beruf gehören der Einkauf von Gütern bei Herstellern bzw. Lieferanten und der Verkauf an den Handel. Weitere Bereiche sind die Lagerhaltung und der reibungslose Warenfluss, d. h. Überwachen der Logistikkette, Prüfen von Wareneingang und Lagerbeständen, Nachbestellen und Ausliefern von Ware. Während Eurer Ausbildung werdet Ihr hierfür Einblicke in die verschiedenen kaufmännischen Bereiche unseres Großhandelsunternehmens erhalten. Job Requirements Ihr solltet über einen Abschluss zur Mittleren Reife verfügen und Interesse am Umgang mit elektronischer Datenverarbeitung haben, sowie offen gegenüber neuen Möglichkeiten der Informationsverarbeitung sein. Wir bieten einen Ausbildungsplatz in einem kleinen, familiengeführten Unternehmen mit kurzen Entscheidungswegen und entsprechenden Entwicklungsmöglichkeiten. Wurde Euer Interesse geweckt? Dann freuen wir uns auf Eure schriftliche Bewerbung per Mail oder Post! WILH. MÜLLER GmbH & Co. KG Personalabteilung Schwerzerallee 5 73525 Schwäbisch Gmünd eMail: ausbildung@wilhelmmueller.de www.wilhelmmueller.de","Junior"
"Cutter gesucht Berlin -Festanstellung/Freelancer Weltenangler GMBH","Cutter gesucht Berlin -Festanstellung/Freelancer Weltenangler GMBH Kategorie 0 Stellenangebote Festanstellungen Beschreibung der Tätigkeit Aus dasauge.de/jobs - bitte beziehe dich in deiner Bewerbung auf dasauge®. Zur Verstärkung unseres Teams in Berlin- Kreuzberg in der Weltenangler Agentur suchen wir zum nächstmöglichen Zeitpunkt einen Cutter (m/w) Lust auf TV-Dokus, Imagefilme und Magazinstücke? DEIN QUALIFIKATIONSPROFIL - WAS DU MITBRINGEN SOLLTEST * Gutes Gespür für Bildkomposition, Typografie sowie Animation * Sehr gute Kenntnisse im Umgang mit Adobe Premiere * Belastbarkeit und zeitliche Flexibilität * Gute Kenntnisse After Effects, Photoshop und Illustrator * strukturierte, serviceorientierte und selbstständige Arbeitsweise * ausgeprägtes Kommunikationsvermögen, starke Teamfähigkeit * gestalterisches Gespür und technisches Verständnis * gute Englischkenntnisse * Die Leidenschaft jeden Tag spannende, abwechslungsreiche & kreative Filme zu produzieren * Die Liebe zum Film und Detail DEINE AUFGABEN * Schnitt von Imagefilmen * Schnitt von Dokumentationen und Magazin-Beiträgen * Sounddesign und Mastering * Compositing und Motion-Design * Color Grading Interesse geweckt? Dann schick uns deine Bewerbungsunterlagen inklusive Arbeitsproben, unter Angabe deiner Gehaltsvorstellung, und deinem frühesten Eintrittstermin an: job@weltenangler.com WIR BIETEN: * ein technisch sehr gut ausgestattetes Medienunternehmen * ein kreatives und unkonventionelles Arbeitsumfeld * spannende und vielseitige Aufgabenfelder * viel Raum für eigenverantwortliches Arbeiten * ein junges, sehr kollegiales Team Mehr Infos zu unserem unter Unternehmen findet ihr unter www.weltenangler.de Skills/Technologien * Schnitt Von Dokumentationen * Imagefilmen * Magazin-Beiträgen * Sounddesign * Mastering * Compositing * Motion-Design * Color Grading Qualifikation Berufserfahrung Einsatzort 10999 Berlin Arbeitsbeginn 30.11.1999 Weltenangler GMBH Berlin Ansprechpartner Brigita Zelic E-Mail Information nur im Netzwerk Persönliche Nachricht Bewerben vor acht Stunden Teilen + Xing + Facebook + Twitter + Google+ + Reddit + LinkedIn + Per E-Mail weitersagen","Medior"
"Qualitätsmanagement-Beauftragter (m/w)","Qualitätsmanagement-Beauftragter (m/w) LNK Dr. Spernau GmbH & Co. KG Frankfurt am Main * Posted on 07 Feb 2018 * Job type: Full time * Career level: Professional/Experienced * Industry: Health and social * Sign up and apply * Create search alert Qualitätsmanagement-Beauftragter (m/w) Geschaltet: 06.02.2018 32105 Bad Salzuflen Vollzeit Vertrag Kurze Stellenbeschreibung Mehr Mensch. Mehr Team. Mehr Wert. Wir suchen zum nächstmöglichen Zeitpunkt zur Weiterentwicklung unseres QM-Systems eine/n Qualitätsmanagement-Beauftragten (m/w) Stellenbeschreibung Ihre Aufgaben: * Die aktive und selbstständige Entwicklung praxisgerechter und zukunftsorientierter Qualitätsmanagement-Werkzeuge * Die eigenverantwortliche Organisation des LNK-internen QMs nach DIN ISO * Sie sind verantwortlich für die Dokumentenlenkung. * Sie erstellen den Qualitätsbericht. * Sie führen Schulungen für unsere Mitarbeiter durch und organisieren klinikinterne Audits. * Sie unterstützen die Geschäftsführung bei der Weiterentwicklung der Klinikstrukturen und -prozesse. Stellenanforderungen Ihr Profil: * Ausbildung zum Qualitätsmanagement-Beauftragten * Fachspezifische Kenntnisse und Berufserfahrung im QM des Gesundheitswesens * Gute Kenntnisse betrieblicher Abläufe und Strukturen eines Krankenhauses * Hohe Sozialkompetenz sowie ausgeprägte Fähigkeiten in der Kommunikation, Moderation und Präsentation * Durchsetzungsfähigkeit * Strukturierte, gewissenhafte und selbstständige Arbeitsweise Leistungen Ihr Gewinn: * Sie können Ihren zukünftigen Arbeitsplatz aktiv mitgestalten. * Sie erhalten ein auf Ihre Bedürfnisse individuell abgestimmtes strukturiertes Einarbeitungskonzept und somit einen sicheren Start in unserer Klinik. * Sie profitieren von unseren multiprofessionellen Fortbildungsangeboten. * Sie erhalten eine adäquate und leistungsorientierte Vergütung. * Sie können durch unsere Klinikrente für das Alter vorsorgen. * Sie erwartet ein aufgeschlossenes, motiviertes Team in einer modernen zukunftsorientierten Klinik. Jobs to match your lifestyle: Enter a job title or keyword Location Radius For recruiters: Post a job","Medior"
"Architekt (m/w) in Teil- und Vollzeit","Architekt (m/w) in Teil- und Vollzeit Planungsbüro Schneider Hamburg * Posted on 25 Oct 2018 * Job type: Full time * Career level: Professional/Experienced * Industry: Architecture and planning * Sign up and apply * Create search alert Architekt (m/w) in Teil- und Vollzeit gesucht Planungsbüro Schneider in Hamburg Architekt #37463 Architekturbüro Stellenbeschreibung Als kleines Architektenteam realisieren wir anspruchsvolle, hochwertige private Wohnbauvorhaben. Unser Spektrum reicht von der aufwendigen Sanierung über Neubau bis zur Projektentwicklung. Zudem realisieren wir auch eigene Bauvorhaben. Wir suchen einen Architekten (m/w) der: * ein abgeschlossenes Studium der Architektur oder eine gleichwertige Ausbildung besitzt * Lust am Entwurf und der Planung anspruchsvollen Bauten hat * Ausführungskenntnisse im Hochbau und in der Sanierung besitzt * Kenntnisse im Stellen von Bauanträgen hat * möglichst als CAD Programm Vectorworks (nur 2D) beherrscht Bitte senden Sie Ihre Bewerbungsunterlagen inklusive des möglichen Eintrittstermins per E-Mail als PDF an: office@wpschneider.de Jobdetail Beruf: Architekt/in Anstellungsart: Festanstellung, unbefristet Einsatzbereich Architektur/Landschaftsarchitektur (Grundlagenermittlung, Vorplanung, Entwurfsplanung, Genehmigungsplanung, Ausführungsplanung, Vorbereitung Vergabe, Mitwirkung Vergabe, Objektüberwachung, Objektbetr./Dokumentation) Projektart Design, Innenraum Wohnungsbau Anforderungen Berufserfahrung: ab 3 Jahre Sprachen: Deutsch (verhandlungssicher) CAD: Vectorworks Jobs to match your lifestyle: Enter a job title or keyword Location Radius For recruiters: Post a job","Medior"
"Area Sales Manager North Europe (m/w/d)","* Nachrichten * Immobilienmarkt * Bildungsmarkt * Kaufdown * Anzeigen * Abo & Service * Impressum * Stellenanzeigen finden * Unternehmen finden * Beruf & Karriere * Weitere Links + Nachrichten + Immobilienmarkt + Bildungsmarkt + Kaufdown + SZ.de-App + Anzeigen + Abo & Service + Impressum Area Sales Manager North Europe (m/w/d) Dürr Systems AG 63791 Karlstein 22.11.2018 Weiterleiten: Daten dieser Anzeige Job-ID: 009149351 Area Sales Manager North Europe (m/w/d) Dürr Systems AG Kontakt Dürr Systems AG Germany https://recruitingapp-5432.de.umantis.com/Vacancies/490/Application/CheckLogin/1?lang=ger Positionsbeschreibung Sicherstellung der vereinbarten Verkaufsziele Kunden- und Marktanalyse mit dem Ziel permanenter und systematischer Neukundengewinnung, Erweiterung der bestehenden Märkte Betreuung und Weiterentwicklung der Händler- und Handelspartnerkontakte Analyse, Konzeption und Koordinierung der Marketing- und Vertriebsaktivitäten Mitwirkung bei der Ausgestaltung der Liefer- und Zahlungsbedingungen (Rabatte, Konditionen und Garantien) für Händler Mitarbeit an der Vorbereitung und Durchführung von Messen, Ausstellungen, Veranstaltungen, etc. Reporting Anzeigeninhalt Fascinationeering bedeutet für uns: sich von neuen Technologien mitreißen lassen und weltweit die Industrie der Zukunft mitgestalten. Gemeinsam sorgen für Geniestreiche auf dem globalen Markt. Entwickeln Sie mit uns Konzepte, die international begeistern. Als führender Maschinen- und Anlagenbauer freuen wir uns über jeden, der unsere Passion teilt. Dürr Systems AG sucht Ihr Potenzial als Area Sales Manager North Europe (m/w/d) Standort: Bietigheim-Bissingen JETZT BEWERBEN Aufgaben mit Verantwortung: Kunden- und Marktanalyse mit dem Ziel permanenter und systematischer Neukundengewinnung, Erweiterung der bestehenden Märkte (Zentral- und Norddeutschland, Benelux, Skandinavien) Sicherstellung der vereinbarten Verkaufsziele Betreuung und Weiterentwicklung der Händler- und Handelspartnerkontakte Analyse, Konzeption und Koordinierung der Marketing- und Vertriebsaktivitäten Mitwirkung bei der Ausgestaltung der Liefer- und Zahlungsbedingungen (Rabatte, Konditionen und Garantien) für Händler Mitarbeit an der Vorbereitung und Durchführung von Messen, Ausstellungen, Veranstaltungen, etc. Reporting Ihre Eigenschaften: Fundierte technische Ausbildung (Studium der Fachrichtung Maschinenbau, Elektrotechnik, Wirtschaftsingenieurswesen oder vergleichbare Qualifikation) Mehrjährige Berufserfahrung im Vertrieb, bevorzugt im Bereich der Oberflächentechnik Einschlägige Kenntnisse der Applikationstechnik, Oberflächentechnik und Pumpentechnik Verhandlungssichere Englischkenntnisse in Wort und Schrift Sicheres Auftreten, Durchsetzungsvermögen und ausgeprägtes Verhandlungsgeschick Reisebereitschaft (Führerschein der Klasse B zwingend erforderlich) Ihre Bewerbung: Begeistern Sie uns mit Ihrer Onlinebewerbung! Welcome to Pure Passioneering. Wenn Technologie Ihre Passion ist und Industrie 4.0 Sie restlos begeistert, sind Sie bei DÜRR genau richtig. Als internationaler Maschinen- und Anlagenbauer sind wir offen für alle innovativen Impulse, die Fertigungsprozesse noch effizienter gestalten. Sie haben die Freiheit, unternehmerisch zu handeln, die Chance, inter­national zu arbeiten, und die Gewissheit, den Sprung ins digitale Industriezeitalter bei einem Weltmarktführer mitzugestalten. Kontakt Birgit Zeller Human Resources DÜRR Systems AG T.: +49 7142 78 2233 Berufsfeld Vertrieb/ Verkauf Ingenieurwesen Branche Maschinen-/ Anlagenbau Position Angestellter/ Fachkraft Art der Anstellung Vollzeit Dienstsitz 63791 Karlstein * Mediadaten * Newsletter * Datenschutz * AGB * Impressum * Jobs bei SZ * Praktika bei SZ Jobs - Stellenangebote - Stellenanzeigen - Stellenmarkt - Stellensuche auf stellenmarkt.sueddeutsche.de - SZ aktuelle Angebote Copyright © Süddeutsche Zeitung Digitale Medien GmbH/Süddeutsche Zeitung GmbH Artikel der Süddeutschen Zeitung lizenziert durch DIZ München GmbH. Weitere Lizenzierungen exklusiv über www.diz-muenchen.de","Senior"
"Steuerberater/in","Jobs per E-Mail Treuhandgesellschaft Hönig GmbH & Co. KG Wirtschaftsprüfungsgesellschaft Steuerberater/in * Hamburg * Feste Anstellung * Teilzeit, Vollzeit * Du bist Mitdenker und Problemlöser? Du suchst einen abwechslungsreichen, herausfordernden und spannenden Job? Dann bist Du bei uns genau richtig! Als kompetenter und zuverlässiger Ansprechpartner mit flachen Hierarchien und kurzen Entscheidungswegen stehen wir unseren Mandanten in der Steuerberatung und Wirtschaftsprüfung mit Rat und Tat zur Seite. Viele bekannte mittelständische Personen- und Kapitalgesellschaften, z. B. aus der Schifffahrt, der Immobilienwirtschaft und dem Dienstleistungsbereich, vertrauen auf unsere Professionalität und langjährige Erfahrung. Werde Bestandteil unseres motivierten und einzigartigen Teams, in welchem wir Know-How, Erfahrungen und innovative Ideen miteinander teilen. Verantwortung von Anfang an und Lösungen zusammen mit den Mandanten entwickeln - bei uns kannst Du Deinen Karriereweg einzigartig und flexibel nach Deinen Vorstellungen gestalten. Wertschätzung, Vertrauen und Respekt sind Werte, auf denen unsere Zusammenarbeit mit Kollegen und Mandanten aufbaut. Deine Aufgaben Entdecke wie vielschichtig und abwechslungsreich Steuerberatung und Wirtschaftsprüfung sein kann und wie eng sie zusammenhängen, um Werte zu schaffen und zu sichern. Dein Aufgabenspektrum reicht von der laufenden Steuerberatung und der steuerlichen Beratung bei Unternehmenstransaktionen über die Entwicklung nachhaltiger Steuer-, Finanz- und Anlagestrategien bis hin zur Prüfung von Einzel- und Konzernabschlüssen mittelständischer Unternehmen nach HGB. Erkenne das jeweilige Geschäftsmodell der Unternehmer und ihre Geschäftsprozesse. Erfahre die Möglichkeiten in der Projektarbeit verschiedenster Bereiche - Due Diligence, Unternehmensbewertung und Sonderprüfungen Dein Profil * Du verfügst über ein erfolgreich abgelegtes Steuerberaterexamen und idealerweise über mehrjährige Berufserfahrung in der steuerlichen Beratung von mittelständischen Unternehmen * Du bist ein echter Teamplayer und hast bereits erste Erfahrungen in der Führung von Mitarbeitern * Professionalität im Umgang mit Mandanten sowie eine zuverlässige und eigenständige Arbeitsweise sind für Dich selbstverständlich * Du bist ehrgeizig, magst Herausforderungen und überzeugst mit Deiner hohen Einsatzbereitschaft, Kommunikationsfähigkeit und Organisationstalent * Du verstehst unternehmerische Zusammenhänge und verfügst über ausgeprägte analytische Fähigkeiten * Ein sicherer Umgang mit den MS-Office-Programmen und gute Englischkenntnisse runden dein Profil ab Deine Benefits Flexible Arbeitszeiten: Bei TWP gibt es keine Kernarbeitszeit. Teile Dir Deine Arbeitszeit selbst nach Deinen individuellen Erfordernissen ein. Deinen Arbeitsort kannst Du dabei frei wählen! Überstundenausgleich: Alle Überstunden werden ausgeglichen. Ob in Freizeit oder als zusätzliche Vergütung - bei TWP kannst Du flexibel darüber entscheiden! Persönliche Fort- und Weiterbildung: Du profitierst von zahlreichen Fachtrainings und Seminaren. Strebst Du ein Berufsexamen an oder hast Du eigene Wünsche und Ideen? Wir unterstützen Dich dabei! Offene Feedbackkultur: Ehrliches Feedback - für Dich und für uns - ist entscheidend für eine erfolgreiche Entwicklung. Deshalb stehen wir in laufendem Austausch. Dadurch hast Du die Chance, mit Deinen Ideen die künftige Entwicklung von TWP mitzugestalten! Karriere und Perspektiven: Setze Deine vielseitige und maßgeschneiderte Karriere bei TWP als Manager fort. In weiteren Karrierestufen kannst Du anschließend Deinen Weg bei TWP bis zum Partner voranbringen. Interessiert? Dann sende Deine aussagefähige Bewerbung an Cindy Strobel (Tel.: 040 432186 270, E-Mail: cindy.strobel@twp-hoenig.de). Wir freuen uns darauf, Dich kennenzulernen! Möchtest Du mehr über uns erfahren? Hier geht es zu unserem Unternehmensprofil. Treuhandgesellschaft Hönig GmbH & Co. KG Wirtschaftsprüfungsgesellschaft Kleiner Burstah 12 20457 Hamburg Standort Treuhandgesellschaft Hönig GmbH & Co. KG Wirtschaftsprüfungsgesellschaft Jetzt bewerben Merken Sie möchten sich dieses Stellenangebot per Email senden?","Medior"
