"jobtitle","link","summary","description","Seniority"
"Sachbearbeiter Kreditorenbuchhaltung (w/m)","https://www.roberthalf.de/job/munchen/sachbearbeiter-kreditorenbuchhaltung-wm/06640-0010792742-dede?page=1","Sachbearbeiter Kreditorenbuchhaltung (w/m) gesucht - Für unseren Kunden, einen etablierten Immobilienentwickler und -investor mit Sitz im Zentrum Münchens, suchen wir einen Sachbearbeiter in der...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Kreditorenbuchhaltung (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, einen etablierten Immobilienentwickler und -investor mit Sitz im Zentrum Münchens, suchen wir einen Sachbearbeiter in der Kreditorenbuchhaltung (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Kreditorenbuchhaltung (w/m)</strong></p><br/><ul><br/><li>Operative Mitarbeit in der Buchhaltung: Kreditorenbuchhaltung</li><br/><li>Kreditorenbuchhaltung: Prüfen, kontieren und verbuchen der Eingangsrechnungen</li><br/><li>Durchführung der Zahlungen</li><br/><li>Vorbereitende Tätigkeiten im Rahmen der Monats- und Jahresabschlüsse</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische Ausbildung oder vergleichbares Studium</li><br/><li>Berufserfahrung in der Buchhaltung mit Schwerpunkt Kreditorenmanagement</li><br/><li>Kenntnisse in der Anlagenbuchhaltung von Vorteil</li><br/><li>Sicherer und routinierter Umgang mit buchhalterischen Systemen</li><br/><li>Sicheres Arbeiten mit dem MS Office Paket</li><br/><li>Selbstständige und sorgfältige Arbeitsweise</li><br/><li>Hohe Selbständigkeit und Kommunikationsfähigkeit</li><br/><li>Engagement und Teamfähigkeit</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Kreditorenbuchhaltung (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06640-0010792742</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Marion Stamp von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNDQzOTcuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Sachbearbeiter Backoffice (w/m)","https://www.roberthalf.de/job/munchen/sachbearbeiter-backoffice-wm/06640-0010807458-dede?page=1","Sachbearbeiter Backoffice (w/m) gesucht - Für unseren Kunden, ein international tätiger Produzent von Markenartikeln mit Sitz im Raum München, suchen wir ab sofort einen Sachbearbeiter (w/m) im...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Backoffice (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein international tätiger Produzent von Markenartikeln mit Sitz im Raum München, suchen wir ab sofort einen Sachbearbeiter (w/m) im Backoffice. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Backoffice (w/m)</strong></p><br/><ul><br/><li>Erstellung von Transport-, Zoll- und Versandpapiere</li><br/><li>Kommunikation mit Lieferanten und Kunden</li><br/><li>Erstellung der Zollanmeldungen via ATLAS</li><br/><li>Prüfung der Außenhandelsdaten und Transportdetails</li><br/><li>Kommunikation mit Lager und Lieferanten</li><br/><li>Erstellung von Analysen und Auswertungen</li><br/><li>Administrative Unterstützung der Abteilung und Kommunikation mit anderen Fachabteilungen</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene Ausbildung als Speditionskaufmann (w/m) oder vergleichbare kaufmännische Ausbildung im Logistikumfeld</li><br/><li>Erste Berufserfahrung im Bereich Logistiksachbearbeitung oder Exportsachbearbeitung</li><br/><li>Freundliches Wesen und souveränes Auftreten</li><br/><li>Verantwortungsvolle und strukturierte Arbeitsweise sowie Durchsetzungsfähigkeit</li><br/><li>Sicherer Umgang mit Microsoft Office Programmen und gerne erste Erfahrungen mit ATLAS</li><br/><li>Perfekte Deutschkenntnisse und gute Englischkenntnisse erforderlich</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Backoffice (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06640-0010807458</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Anja Zimmermann von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuODE1ODkuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Teamleiter Buchhaltung (w/m)","https://www.roberthalf.de/job/berlin/teamleiter-buchhaltung-wm/06910-0010207409-dede?page=1","Teamleiter Buchhaltung (w/m) gesucht - Für unseren Kunden, ein mittelständisches Unternehmen aus dem Bereich Transport und Logistik mit Sitz nordöstlich von Berlin, suchen wir ab sofort einen Teamleiter...","<div class=""rh-job-page__job-info-text""><p><strong>Teamleiter Buchhaltung (w/m) </strong><strong>gesucht</strong> - Für unseren Kunden, ein mittelständisches Unternehmen aus dem Bereich Transport und Logistik mit Sitz nordöstlich von Berlin, suchen wir ab sofort einen Teamleiter Buchhaltung (w/m). Das Unternehmen steht für abwechslungsreiche Tätigkeiten, fördert Weiterentwicklungen und bietet neben flexiblen Arbeitszeiten und Home Office weitere spannende Benefits. Bei der Position handelt es sich um eine direkte Festanstellung bei unserem Kunden. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als Teamleiter Buchhaltung (w/m)</strong></p><br/><ul><br/><li>Verantwortung für den ordnungsgemäßen Ablauf aller buchhalterischen Vorgänge der sieben Einzelgesellschaften in Deutschland</li><br/><li>Mitwirkung bei der Erstellung der einzelnen Monats-, Quartals- und Jahresabschlüsse nach HGB sowie deren Konsolidierung</li><br/><li>Mitwirkung bei der Überleitung der Abschlüsse in IFRS innerhalb der Konzernmutter</li><br/><li>Fachliche und disziplinarische Führung von drei Mitarbeitern innerhalb der Finanzbuchhaltung</li><br/><li>Verantwortung für die Inter-Company-Abstimmungen sowie Optimierung der bestehenden buchhalterischen Prozesse inklusive deren Dokumentation</li><br/><li>Übernahme von ersten Controlling-Aufgaben wie z.B. Planung und Budgetierung</li><br/><li>Erster Ansprechpartner für Wirtschaftsprüfer, Steuerberater und Finanzbehörden</li><br/><li>Direkte Berichtslinie an den kaufmännischen Leiter<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossenes Studium der Wirtschaftswissenschaften oder vergleichbare kaufmännische Ausbildung</li><br/><li>Einschlägige Berufserfahrung in der Finanzbuchhaltung</li><br/><li>Erste Führungserfahrung ist von Vorteil, aber nicht erforderlich</li><br/><li>Sicherer Umgang mit gängigen Buchhaltungssystemen, idealerweise Datev</li><br/><li>Gute Englischkenntnisse sind von Vorteil</li><br/><li>Starke Team- und Kommunikationsfähigkeit sowie selbstständige, eigenverantwortliche und systematische Arbeitsweise</li><br/><li>Hohes Maß an Einsatzbereitschaft und Motivation<br> </br></li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Teamleiter Buchhaltung (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06910-0010207409</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Herr Helmrich von Robert Half gerne zur Verfügung.  </p><img src=""https://counter.adcourier.com/cm96YWsuNDQzOTYuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Finanzbuchhalter / Senior Accountant  (w/m)","https://www.roberthalf.de/job/munchen/finanzbuchhalter-senior-accountant-wm/06640-0010796927-dede?page=1","Finanzbuchhalter / Senior Accountant  (w/m) gesucht - Für unseren Kunden, ein Unternehmen aus dem Bereich der Kapitalverwaltung, mit Sitz im Zentrum Münchens, suchen wir ab sofort einen Finanzbuchhalter...","<div class=""rh-job-page__job-info-text""><p><strong>Finanzbuchhalter / Senior Accountant  (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen aus dem Bereich der Kapitalverwaltung, mit Sitz im Zentrum Münchens, suchen wir ab sofort einen Finanzbuchhalter / Accountant (w/m).</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p>Die Position ist mit der Option auf eine Übernahme - direkten Anstellung bei dem Unternehmen angedacht.<br> </br></p><br/><p><strong>Ihre Aufgaben als</strong><strong> Finanzbuchhalter / Senior Accountant  (w/m)</strong></p><br/><ul><br/><li>Führung der Kreditoren- und Debitorenbuchhaltung</li><br/><li>Verbuchen der Geschäftsvorfälle</li><br/><li>Rechnungsprüfung</li><br/><li>Überwachung der Zahlungstermine sowie Rechnungsstellung</li><br/><li>Mahnwesen / Forderungsmanagement</li><br/><li>Kontenabstimmung</li><br/><li>Prüfung der offenen Posten</li><br/><li>Mitarbeit bei Monats- und Jahresabschlüssen / Erstellung von Abgrenzungen und Rückstellungen</li><br/><li>Unterstützung im Berichtswesen sowie bei der Liquiditätsplanung</li><br/></ul><br/><p><br> </br></p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische / steuerfachliche Ausbildung (w/m) oder betriebswirtschaftliches Studium</li><br/><li>Sicheres Arbeiten mit MS Office, insbesondere Excel</li><br/><li>Kenntnisse in Navision / MX Dynamics sind von Vorteil</li><br/><li>Teamorientiertes Arbeiten und eine schnelle Auffassungsgabe</li><br/><li>Selbständige und zuverlässige Arbeitsweise</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Finanzbuchhalter / Senior Accountant  (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06640-0010796927</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Melanie Tuerke von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMzM2MTkuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Sachbearbeiter Buchhaltung (w/m)","https://www.roberthalf.de/job/munchen/sachbearbeiter-buchhaltung-wm/06640-0010807823-dede?page=1","Sachbearbeiter Buchhaltung (w/m) gesucht - Für unseren Kunden, eine Institution im Bereich des Gesundheitswesen mit Sitz in München, suchen wir ab sofort einen Sachbearbeiter Buchhaltung (w/m). Der...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Buchhaltung (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, eine Institution im Bereich des Gesundheitswesen mit Sitz in München, suchen wir ab sofort einen Sachbearbeiter Buchhaltung (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Buchhaltung (w/m)</strong></p><br/><ul><br/><li>Ordnungsgemäße Buchführung</li><br/><li>Buchen von Zu- und Abgängen sowie Wertberichtigungen</li><br/><li>Abwicklung des Zahlungsverkehrs und Kassenführung</li><br/><li>Kontrolle der Eingangsrechnungen</li><br/><li>Veranlassung von Zahlungen</li><br/><li>Organisieren, Führen und Überwachen der Kassenbuchhaltung </li><br/><li>Prüfen der Kassenabrechnungen</li><br/><li>Überwachen des Rechnungseingangs, Anmahnen von ausstehenden Beträgen</li><br/><li>Sicherstellen der ordnungsgemäßen Buchung von Zahlungseingängen aufgrund von Mahnungen</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische Ausbildung</li><br/><li>Berufserfahrung im kaufmännischen/ buchhalterischen Bereich</li><br/><li>Verantwortungsbewusstsein</li><br/><li>Hohe Selbständigkeit und Kommunikationsfähigkeit</li><br/><li>Engagement und Teamfähigkeit</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Buchhaltung (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06640-0010807823</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Marion Stamp von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNzk5NTcuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Kaufmännischer Mitarbeiter (w/m)","https://www.roberthalf.de/job/stuttgart/kaufmannischer-mitarbeiter-wm/06790-0010805449-dede?page=1","Kaufmännischer Mitarbeiter (w/m) gesucht - Für unseren Kunden, ein Unternehmen mit Sitz in Stuttgart, suchen wir ab sofort einen kaufmännischen Mitarbeiter (w/m). Der Einstieg erfolgt im Rahmen der...","<div class=""rh-job-page__job-info-text""><p><strong>Kaufmännischer Mitarbeiter (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen mit Sitz in Stuttgart, suchen wir ab sofort einen kaufmännischen Mitarbeiter (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Kaufmännischer Mitarbeiter (w/m)</strong></p><br/><ul><br/><li>Planung, Abstimmung und anschließende Abrechnung von Konferenzbewirtungen</li><br/><li>Planung und Organisation von Veranstaltungen und Besprechungen</li><br/><li>Rückstellungskontrolle, Büromittelbeschaffung, interne Umzüge, Verteilung der Post</li><br/><li>Erstellung von Präsentationen</li><br/><li>Führung von Meetings- und Besprechungsprotokollen</li><br/><li>Reiseorganisation und Reisekostenabrechnung<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene kaufmännische Ausbildung</li><br/><li>Erste Berufserfahrung im kaufmännischem Bereich</li><br/><li>Gute Englisch Kenntnisse in Wort und Schrift</li><br/><li>Fundierte Kenntnisse in MS Office</li><br/><li>Sehr gute Ausdrucksfähigkeit in Wort und Schrift</li><br/><li>Vertraulichkeit und Loyalität</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Kaufmännischer Mitarbeiter (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06790-0010805449</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Nadine Schmidkunz von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm9iZXJ0aGFsZi4zMzE5OC4xMDcxN0ByaGlkZS5hcGxpdHJhay5jb20.gif""/></div>",
"IT Systemadministrator (w/m)","https://www.roberthalf.de/job/dortmund/it-systemadministrator-wm/60050-0010807461-dede?page=1","IT Systemadministrator (w/m) gesucht - Für unseren Kunden, einem renommierten IT-Dienstleister, suchen wir ab sofort einen IT Systemadministrator (w/m). Der Einstieg erfolgt im Rahmen der...","<div class=""rh-job-page__job-info-text""><p><strong>IT Systemadministrator (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, einem renommierten IT-Dienstleister, suchen wir ab sofort einen IT Systemadministrator (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> IT Systemadministrator (w/m)</strong></p><br/><ul><br/><li>Endkontrolle von PC-Systemen, Notebooks und Servern</li><br/><li>Qualitätssicherung</li><br/><li>Fehlerdiagnose und Fehlerbehebung</li><br/><li>Hardware- und Softwareinstallationen</li><br/><li>Reparatur und Wartung von Servern, PC-Systemen und Notebooks</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Einschlägige Berufserfahrung im IT-Umfeld ist von Vorteil</li><br/><li>Gutes Fachwissen über Hard- und Software</li><br/><li>Fundierte Kenntnisse im Bereich MS Windows, Linux erwünscht</li><br/><li>Schnelle Auffassungsgabe und hohe Belastbarkeit</li><br/><li>Kunden-, team- und lösungsorientierte Einstellung</li><br/><li>Praxiskenntnisse in gängiger Kloningsoftware und Virtualisierung<br> </br></li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als IT Systemadministrator (w/m) unter Angabe der <strong>Referenznummer</strong> <strong>60050-0010807461</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Herr Yagli von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTcwOTkuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Disposition (w/m)","https://www.roberthalf.de/job/koln/disposition-wm/60030-0010802948-dede?page=1","Unser Kunde bietet Ihnen als ein international ausgerichtetes, leistungsstarkes Logistikunternehmen interessante Entwicklungsmöglichkeiten in den operativen und administrativen Unternehmensbereichen. Werden Sie Teil des Marktführers und...","<div class=""rh-job-page__job-info-text""><p>Unser Kunde bietet Ihnen als ein international ausgerichtetes, leistungsstarkes Logistikunternehmen interessante Entwicklungsmöglichkeiten in den operativen und administrativen Unternehmensbereichen. Werden Sie Teil des Marktführers und bauen Sie Ihre Erfahrung aus!</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br> </br></p><br/><p><strong>Ihre Aufgaben als</strong><strong> Disposition (w/m)</strong></p><br/><ul><br/><li>Planung und zeitliche Überwachung der täglichen Ausführung von Transportaufträgen unter einem vordefinierten Transportnetzwerk</li><br/><li>tägliche Abstimmung mit dem Kunden</li><br/><li>Unterstützung bei der Erstellung von Angeboten im Rahmen der Tätigkeit</li><br/><li>Kontrolle der ordnungsgemäßen Routenausführung</li><br/><li>Rechnungsstellung und Überwachung des Zahlungseingangs<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Berufsausbildung als Speditions- oder Industriekaufmann (w/m)</li><br/><li>Alternativ: Bürokaufleute, Import- / Export, Industriekaufleute, Fremdsprachenkorrespondenten (w/m)</li><br/><li>Erste Erfahrung in der Disposition von Vorteil aber keine Voraussetzung</li><br/><li>Gute MS Office-Anwenderkenntnisse sowie ausgeprägte Excel-Kenntnisse sind wünschenswert</li><br/><li>Sie besitzen eine ausgeprägte Kommunikationsfähigkeit und Kundengespür</li><br/><li>Flexibel, teamfähig und vor allem hohe Kunden- und Serviceorientierung</li><br/></ul><br/><p><strong>Vorteile der Zeitarbeit</strong></p><br/><ul><br/><li>Einarbeitung und Weiterbildungen durch Kundenunternehmen</li><br/><li>Der Weg aus der Berufspause/ Arbeitslosigkeit</li><br/><li>Kontakt und Vernetzung mit interessanten Unternehmen</li><br/><li>Erfahrungen sammeln und Erhöhung des eigenen „Marktwerts""</li><br/><li>Beste Chance für einen erfolgreichen Einstieg der Berufsanfängern und Hochschulabsolventen in die Arbeitswelt</li><br/><li> „Sprungbrett"" zur Direkteinstellung beim Kunden</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Disposition (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 60030-0010802948</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Stephanie Kniesel von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTgzMzAuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Interim BI Analyst (w/m)","https://www.roberthalf.de/job/munchen/interim-bi-analyst-wm/06640-0010798635-dede?page=1","Interim BI Analyst (w/m) gesucht - Für unseren Kunden, ein Unternehmen in der Hotelbranche mit Sitz in München, suchen wir ab sofort einen Business Intelligence Analyst (w/m) für eine Einsatzdauer von...","<div class=""rh-job-page__job-info-text""><p><strong>Interim BI Analyst (w/m) </strong><strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen in der Hotelbranche mit Sitz in München, suchen wir ab sofort einen Business Intelligence Analyst (w/m) für eine Einsatzdauer von sechs Monaten mit Option auf Verlängerung. Bei der Position handelt es sich um eine Tätigkeit auf Projektbasis. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei. <br/> </p><br/><p><strong>Ihre Aufgaben als Interim BI Analyst (w/m)</strong></p><br/><ul><br/><li>Beratung im Bereich Opera</li><br/><li>Beratung im Bereich Oracle/ Hyperion</li><br/><li>Beratung bezüglich Verbesserung der BI Prozessen</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Excel, PowerPoint u.a.</li><br/><li>Oracle Hyperion, Opera</li><br/><li>Finance-Background / Finance Verständnis</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Interim BI Analyst (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06640-0010798635</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Demanega von Robert Half gerne zur Verfügung.  </p><img src=""https://counter.adcourier.com/cm96YWsuMDEzODAuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Kaufmännischer Sachbearbeiter Bereich Leasingfahrzeuge (w/m)","https://www.roberthalf.de/job/heilbronn/kaufmannischer-sachbearbeiter-bereich-leasingfahrzeuge-wm/06790-0010808102-dede?page=1","Kaufmännischer Sachbearbeiter im Bereich Leasingfahrzeuge (w/m) gesucht - Für unseren Kunden, ein namhaftes Unternehmen aus der Automobilbranche mit Sitz in Heilbronn, suchen wir ab sofort einen Sachbearbeiter (w/m) für...","<div class=""rh-job-page__job-info-text""><p><strong>Kaufmännischer Sachbearbeiter im Bereich Leasingfahrzeuge (w/m) gesucht</strong> - Für unseren Kunden, ein namhaftes Unternehmen aus der Automobilbranche mit Sitz in Heilbronn, suchen wir ab sofort einen Sachbearbeiter (w/m) für den Bereich Leasingfahrzeuge. Sie haben eine sorgfältige und strukturierte Arbeitsweise und sind bereit für den nächsten Karriereschritt in der Automobilbranche? Dann nutzen Sie Ihre Chance, bei einem der erfolgreichsten Unternehmen aus der Region! Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.</p><br/><p><strong>Ihre Aufgaben</strong><strong> als</strong> <strong>kaufmännischer Sachbearbeiter im Bereich Leasingfahrzeuge (w/m)</strong></p><br/><ul><br/><li>Prüfen von Antragsunterlagen für Leasing- und Finanzierungsverträge auf Vollständigkeit und Korrektheit</li><br/><li>Nachfassen von fehlenden Informationen</li><br/><li>Anlegen und Erfassen der Verträge im System</li><br/><li>Versenden von Vertragsbestätigungen</li><br/><li>Schriftverkehr mit Kunden und Autohäusern</li><br/><li>Unterstützung bei administrativen Aufgaben</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene kaufmännische Ausbildung, idealerweise im Bereich Banken, Finanzen oder Automobil</li><br/><li>Fundierte Kenntnisse im MS Office Paket</li><br/><li>Selbständige und sorgfältige Arbeitsweise sowie schnelle Auffassungsgabe</li><br/><li>Zahlenaffinität und Flexibilität</li><br/><li>Verhandlungssichere Deutschkenntnisse in Wort und Schrift</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als kaufmännischer Sachbearbeiter im Bereich Leasingfahrzeuge (w/m) unter Angabe der <strong>Referenznummer</strong> <strong>06790-0010808102 </strong>- Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Anne-Cathrin Müller von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTg4NTIuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"EDV-Administrator (w/m)","https://www.roberthalf.de/job/frankfurt-am-main/edv-administrator-wm/06600-0010802895-dede?page=1","EDV-Administrator (w/m) gesucht - Für unseren Kunden, ein international bekanntes Unternehmen mit Sitz in Frankfurt, suchen wir einen EDV Spezialisten (w/m). Das Unternehmen ist Marktführer in seiner...","<div class=""rh-job-page__job-info-text""><p><strong>EDV-Administrator (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein international bekanntes Unternehmen mit Sitz in Frankfurt, suchen wir einen EDV Spezialisten (w/m). Das Unternehmen ist Marktführer in seiner Branche unt bietet kontinuierliche Weiterbildungsmöglichkeiten. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> EDV-Administrator (w/m)</strong></p><br/><ul><br/><li>Sicherstellung der Systemumgebungen</li><br/><li>Bearbeitung der eingehenden Tickets</li><br/><li>Troubleshooting</li><br/><li>1st und 2nd Level Support</li><br/><li>Pflege der Software</li><br/><li>Sicherstellung der Kundenkommunikation</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene Berufsausbildung im IT-Bereich oder vergleichbare Qualifikation</li><br/><li>Erfahrungen im IT-Support</li><br/><li>Grundkenntnisse im Bereich Netzwerk</li><br/><li>Sicherer Umgang mit einem Ticketsystem</li><br/><li>Sicheres Auftreten und Teamfähigkeit</li><br/><li>Sehr gute Deutsch- und Englischkenntnisse</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als EDV-Administrator (w/m) unter Angabe der <strong>Referenznummer</strong> <strong>06600-0010802895</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Pritika Bhatti von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNjMxNzUuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
