"jobtitle","link","summary","description"
"Billing Coordinator","https://www.roberthalf.com/job/kent-wa/billing-coordinator/04430-9501897049?page=2","Do you have Accounts Receivable experience? Have you worked in the system called Legacy/McKesson? We have a role for you!!!   Their primary function will be following up with payors. A list of responsibilities include: 1.	Calling insurances...","Do you have Accounts Receivable experience? Have you worked in the system called Legacy/McKesson? We have a role for you!!! 

Their primary function will be following up with payors. A list of responsibilities include:
1.	Calling insurances/websites – 80% time
2.	Looking at payer variances 10%
3.	Organizing work before making calls – 5%
4.	Reviewing credits 5%

If your background fit this please email your resume to [email protected] 
 Additional requirements include:
Min 1 year exp with AR or Healthcare access/medical records, billing, collection experience 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Scanning Clerk","https://www.roberthalf.com/job/dallas-tx/scanning-clerk/04121-9501896752?page=2","Do you enjoy doing general office work, scanning documents, filing, data entry etc. OfficeTeam is currently looking for a general office/scanning clerk for a large records management company in the Dallas area off of I-30 just West of down...","Do you enjoy doing general office work, scanning documents, filing, data entry etc. OfficeTeam is currently looking for a general office/scanning clerk for a large records management company in the Dallas area off of I-30 just West of down town Dallas. The hours are 7:00am-3:30pm. Job responsibilities include....

1. Scanning confidential documents and uploading them into the system
2. Checking documents for any errors (making sure documents were scanned in correctly)
3. Uploading documents to the appropriate files 
4. Filing the scanned documents back into the correct order
5. Putting the correct record boxes back where they belong
6. Pulling staples from the documents before scanning them 

If you are interested in this position please send your resume to [email protected] or [email protected] or [email protected] 
 Requirements for the position include
1. 0-2 years of general office experience
2. Attention to Detail 
3. Ability to follow specific instructions
4. Comfortable working in a production based environment
5. Ability to work with a team
6. Must be able to hit production quotas set in place

7. Comfortable working in a fast paced enviornment 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Litigation Paralegal","https://www.roberthalf.com/job/washington-dc/litigation-paralegal/04510-9501895345?page=2","Mid-sized law firm in Washington DC is seeking a Litigation Paralegal to join its team. The ideal candidate will have extensive experience in plaintiff's personal injury and enjoy handling complex litigation matters.  - Draft motions,...","Mid-sized law firm in Washington DC is seeking a Litigation Paralegal to join its team. The ideal candidate will have extensive experience in plaintiff's personal injury and enjoy handling complex litigation matters.

- Draft motions, pleadings, and correspondence
- Oversee discovery
- Prepare for hearings and trials, including assembling trial notebooks and exhibits
- Attend trials
- Track deadlines
- Communicate with courts, clients, expert witnesses, and opposing counsel
- E-filing 
 - 3+ years of civil litigation experience
- Paralegal degree/certificate preferred 
- Excellent proofreading skills
- Ability to work independently and multi-task

All Personal Injury Paralegals available to support on projects should send their resume to Jill Archer today! Please send your resume to [email protected] 
 Located in major North American and global markets, Robert Half Legal is the premier provider of legal staffing and consulting solutions on a full-time, project, and temporary basis, serving both law firms and corporate legal departments. We also provide project and eDiscovery teams and workspace for a wide range of initiatives, including litigation support, mergers and acquisitions and document review matters. Our dedicated teams' industry experience allows us to quickly match skilled legal professionals with the best available jobs. We offer challenging opportunities, competitive compensation and benefits, and skills-enhancement training.

Call your local Robert Half Legal office at 888.490.5592 to discover more about this position. Apply for this job now or contact our branch office for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Robert Half Legal. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Medical Collector","https://www.roberthalf.com/job/boca-raton-fl/medical-collector/01090-9501895713?page=2","EXPERIENCED medical collectors- are you looking for a new opportunity with a thriving company and room for growth?  Accountemps is seeking a candidate for a temp to hire opportunity with 3 different companies in the Deerfield-Delray Beach...","EXPERIENCED medical collectors- are you looking for a new opportunity with a thriving company and room for growth?

Accountemps is seeking a candidate for a temp to hire opportunity with 3 different companies in the Deerfield-Delray Beach area!!

Responsible for timely follow-up on hospital and clinic services to ensure accurate and timely reimbursement.
Prepare and submit appeals on claims incorrectly processed by the assigned payer.
Maintain regulatory requirements for payers.
Investigate accounts to identify any unusual issues affecting payment delays and follow-up with the appropriate parties.
Detail oriented and proficient in research of payor policies.
Contacts patients and other third party payor organizations to secure payment or arrange alternative payment/settlement plans.
Independently interacts with federal, state, third party payors, agencies, physicians, departmental directors and outside related vendors.
Answering inquiries on a timely basis according to hospital written policy and procedures.
Collaborates with co-workers and team members to identify opportunities for improvement. Assists in developing plans for corrections or solutions.
Ensure that any required information requested by payer is gathered and forwarded timely.
Review credit balances and refund requests from third party payers to determine if account is paid at contractual obligation. Initiates any adjustment required by payer according to departmental policy.

Please email your resume to Jessica Gorant at [email protected] or call 561-994-8944 for immediate consideration. 
 Experience:

Medical Insurance Collections: 3 years (Required)
Medical terminology to include ICD 10 and Diagnosis Codes: 3 years (Required)
Medical Billing and AR experience PREFERRED
HCFA 1500 and/or UB04: 2 years (Required)


Please email your resume to Jessica Gorant at [email protected] or call 561-994-8944 for immediate consideration.

**Please note medical collection experience is a requirement. 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Accounts Payable Specialist","https://www.roberthalf.com/job/palo-alto-ca/accounts-payable-specialist/00370-9501896997?page=2","Our hospitality client needs an immediate Accounts Payable Processor for a temporary to full time opportunity.   Please apply if you have a minimum of three years handling high volume accounts payable experience and have processed check...","Our hospitality client needs an immediate Accounts Payable Processor for a temporary to full time opportunity. 

Please apply if you have a minimum of three years handling high volume accounts payable experience and have processed check runs.

If you are available to begin working on Monday September. 24th please send your resume to [email protected] to be considered. 
 - A minimum of three years of Accounts Payable experience including; processing the check run.

- Demonstrated communication, customer service, and interpersonal skills

- Accounts payable experience

- Attentive, ability to work independently and prioritize tasks

- AA or BS/BA degree in Accounting is preferred

-Proficient with Microsoft Excel

For the last 13 years I’ve helped Accounting/Finance professionals obtain temporary, project based and temporary to full time job opportunities. 

Regardless you’re an Accounts Payable Processor, Collections, Accounts Receivable Specialist, Senior, Staff, Revenue, Project Accountant or just getting started with your accounting career. 

I encourage you to view my LinkedIn profile or Yelp Reviews from professionals I have helped. Please email your resume to [email protected] 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Scheduler","https://www.roberthalf.com/job/princeton-nj/scheduler/02760-9501895510?page=2","Mercer County hospital has immediate openings for Medical Schedulers and Credentialing Specialists! Positions require prior medical experience (non-clinical) and are temporary to hire opportunities. If interested and available to start...","Mercer County hospital has immediate openings for Medical Schedulers and Credentialing Specialists! Positions require prior medical experience (non-clinical) and are temporary to hire opportunities. If interested and available to start working this week, please call Accountemps, Princeton at 609.987.0786 and email resume to [email protected] 
 Prior medical, non-clinical experience 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Entry Level Business Analyst","https://www.roberthalf.com/job/minneapolis-mn/entry-level-business-analyst/02311-9501897072?page=2","Looking for skillful candidates to fill a LONG TERM business analyst position!   Candidate will perform a variety of operational tasks for highly complex securities or cash transactions and related processes.   Duties may include:...","Looking for skillful candidates to fill a LONG TERM business analyst position!

Candidate will perform a variety of operational tasks for highly complex securities or cash transactions and related processes.

Duties may include: differentiating, processing, and reconciling transactions; performing a variety of balancing tasks; producing department level reporting using multiple sources; May create and/or maintain databases.

Candidate must be able to handle critical production or escalation issues while acting as a liaison to other internal departments, including technology and cashiering groups and external sources. Candidate may be involved in a variety of project team work. This could involve defining user requirements and contributing to production and workflow improvements. Other duties may include; create or revise departmental procedures; Provide training or work direction for staff; Provide back-up for numerous department functions; May address compliance and corporate governance issues for the department; May have extensive customer contact; Works under minimal supervision with some degree of independence.

Other responsibilities may include special equity processing, exceptions research and reconciliation, metrics reporting, etc.

**Robert Half employees get paid weekly, access to free parking, and benefits!!** 

Please send resumes directly to [email protected]! 
 Required Qualifications 

• Excellent communications skills, strong attention to detail, ability to work independently and multi-task; working knowledge of required technical systems.
• Strong technical and problem-solving skills. Excellent organizational and customer service skills.

Desired Qualifications 
• 2+ years Institutional Brokerage Operations Experience. 
• Microsoft Office proficiency, including Excel, SharePoint, Access. 
• Familiarity with financing deal documents. 
• Broadridge Systems experience (Impact and BPS). 
• Technical Skills including SQL, Excel Graphing, Database construction.

Other experience desired: Account Reconciliation, Bank Reconciliations, Research

APPLY TODAY! these positions fill fast. 

Send your resumes directly to [email protected] for immediate consideration! 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Corporate Paralegal","https://www.roberthalf.com/job/chicago-il/corporate-paralegal/01300-9501896751?page=2","Robert Half Legal is in search of a Corporate Paralegal for a client located in the downtown Chicago Loop. The ideal candidate should have 5+ years experience in a Corporate Law Firm Setting. Salary for this position depends on the...","Robert Half Legal is in search of a Corporate Paralegal for a client located in the downtown Chicago Loop. The ideal candidate should have 5+ years experience in a Corporate Law Firm Setting. Salary for this position depends on the experience of the candidate.

Daily Responsibilities of the role will entail; 
-Drafting documents for formation of new entities
-Maintaining the minute book log and corporate records and stock ledgers
-Due diligence production and review
-Drafting transactions documents and managing closings
-Preparing financing statements that are UCC compliant 
-Maintaining good standing for legal entities in numerous jurisdictions
-Updating corporate databases and internal reference documents 
-Reconciling, reviewing, and approving vendor invoices are necessary 
 -Minimum of 5 years experience in corporate/finance law firm setting is highly preferred
-Strong proofreading and technical skills
-Very strong attention to detail and strong organizational skills
-Paralegal certification preferred
-Knowledge of Illinois and Delaware law is a must
-Extreme skills in both written and oral communication 
-Prior experience with a document management system is preferred

If interested, please send resume to [email protected] Thank you! 
 Located in major North American and global markets, Robert Half Legal is the premier provider of legal staffing and consulting solutions on a full-time, project, and temporary basis, serving both law firms and corporate legal departments. We also provide project and eDiscovery teams and workspace for a wide range of initiatives, including litigation support, mergers and acquisitions and document review matters. Our dedicated teams' industry experience allows us to quickly match skilled legal professionals with the best available jobs. We offer challenging opportunities, competitive compensation and benefits, and skills-enhancement training.

Call your local Robert Half Legal office at 888.490.5592 to discover more about this position. Apply for this job now or contact our branch office for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Robert Half Legal. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"PC Technician","https://www.roberthalf.com/job/fayetteville-ga/pc-technician/00900-9501895802?page=2","Robert Half Technology is currently hiring a PC Technician in Fayettville, GA. If interested, please apply and email your resume to [email protected] .  Manage daily inbound and outbound shipments  Unboxing of new computer equipment...","Robert Half Technology is currently hiring a PC Technician in Fayettville, GA.
If interested, please apply and email your resume to [email protected] .

Manage daily inbound and outbound shipments 
Unboxing of new computer equipment including laptops, desktops, and tablets 
Setup and configuration of equipment
Managing customer communications
 
 
Knowledge of PC desktop support
Knowledge of local and network printer support
Knowledge of Networking, LAN/WAN support
Strong Understanding and knowledge of MS Outlook
 
 Technology doesn't change the world. People do.

As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person.

Leader among IT staffing agencies

The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call.

We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.

Apply for this job now or contact our branch office at 888.490.4429 to learn more about this position.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Loan Processor","https://www.roberthalf.com/job/minneapolis-mn/loan-processor/02311-9501897065?page=2","Looking for a position to expand your experience within a Fortune 500 Banking and Financial Corporation? We are looking for those with experience in either mortgage, loan processing, and document review to join our clients team in...","Looking for a position to expand your experience within a Fortune 500 Banking and Financial Corporation? We are looking for those with experience in either mortgage, loan processing, and document review to join our clients team in Minneapolis! 

Job Description: 
	Candidates would be responsible for processing, evaluating, and organizing loan documents and collateral files. They will also be working with mortgage loans and other documents related to the mortgage field to audit, analyze, and modify the documents. Work is done independently. 
 Duties:
	• Reading, analyzing, and interpreting mortgage/finance documents
	• Understanding the effects of changes on customers' accounts
	• Processing information quickly and with a high degree of accuracy
	• Identifying and resolving any discrepancies with data
	• Making changes to customers' information
	• Working from a report (work queue)


** This position has free parking and access to the bus line! **
** full benefits through Robert Half are available after 40 hours worked **

Please send resumes directly to [email protected]! 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Data Analyst","https://www.roberthalf.com/job/compton-ca/data-analyst/00320-9501896268?page=2","*Data Analysis * Excel * MS Access * SQL * Troubleshooting *   My client, a Government based firm in Compton is looking for a Data Analyst to join their IT Team. Ideal candidate should have at least 1 year of experience in MS Access and MS...","*Data Analysis * Excel * MS Access * SQL * Troubleshooting *


My client, a Government based firm in Compton is looking for a Data Analyst to join their IT Team. Ideal candidate should have at least 1 year of experience in MS Access and MS Excel. Also, must be capable of troubleshooting database applications. The day to day responsibilities for this role include migrating MS Access applications, adding new information in the internal reports, and creating new reports using MS Excel to meet business needs. This is a good opportunity to gain professional experience as Data Analyst. One of the big perks in this role is the company offers flexible hours for their employees. 


If you are interested in this opportunity, please email Assistant Vice President - Division Director Jimmy Escobar at [email protected] or call at (310) 209-6838. https://www.linkedin.com/in/jimmyescobar/ 
 *Data Analysis 
*MS Excel - MUST 
*MS Access - MUST 
*SQL - PLUS
*Troubleshooting 
 Technology doesn't change the world. People do.

As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person.

Leader among IT staffing agencies

The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call.

We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.

Apply for this job now or contact our branch office at 888.490.4429 to learn more about this position.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Payroll Administrator","https://www.roberthalf.com/job/yonkers-ny/payroll-administrator/02970-0010944062?page=2","To be a good fit for this Payroll Administrator position, you should have experience with Microsoft Office and be ready for a challenge. If you're looking for work as a Payroll Administrator, Accountemps is looking for candidates with...","To be a good fit for this Payroll Administrator position, you should have experience with Microsoft Office and be ready for a challenge. If you're looking for work as a Payroll Administrator, Accountemps is looking for candidates with dynamic communication and problem-solving skills who can process payroll effectively and efficiently. If you want to work in a fast-paced environment, contact us today to start advancing your career with this smart team. This Payroll Administrator opportunity is located in Yonkers, New York and is a long-term temporary-to-full-time role.

Your responsibilities

- Draft relevant year-end reports, as well as weekly, monthly, and quarterly ones, for department heads

- Retrieve and assess information in order to resolve payroll discrepancies

- Secure confidential payroll operation information and maintain employee confidence

- Handle other duties as necessary

- Maintaining payroll operations by following policies and procedures; reporting needed changes

- Enter changes in exemptions, insurance coverage, savings deductions, and job title and department/division transfers as part of managing payroll records

- Deliver assistance to payroll with internal and external audits

- Able to reconcile employee deductions and other liabilities

- Managing payroll information by keeping proper records for collecting, calculating, and entering data

- Answer questions and requests related to payroll information

- Preparing reports by compiling summaries of earnings, taxes, deductions, leave, disability, and nontaxable wages

- Certify compliance with federal and state regulations and guidelines

- Establish payroll liabilities after calculating all employee federal and state income and social security taxes and employer social security, unemployment, and worker compensation payments

- Manage and review, including verify, source documents

FOR CONSIDERATION EMAIL ME AT [email protected] 
 - Remarkable analytical, quantitative and social skills

- Reliable skills in Microsoft Office with excellent Excel skills

- 3+ years of relevant experience in payroll

- Prior experience working with accounting software

- Proficiency in ADP Trading

- Ad Campaigns experience desired

- Knowledge of 3D CAD

- Outstanding data entry skills

- Mastery of internal controls

- Knowledgeable of basic accounting principles and solid financial acumen

- Capable of managing high volume multi-state payroll, billing, licensing, AP, etc.

- Understanding of federal and state payroll regulations and requirements

- Certified Payroll Professional designation favored 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Human Resources Assistant","https://www.roberthalf.com/job/eden-prairie-mn/human-resources-assistant/02300-0010945599?page=2","Are you a Human Resources Assistant looking to grow along an expanding company? Then this exciting opportunity may be for you. Enjoy a positive work environment as you handle a variety of personnel related administrative tasks, as well as...","Are you a Human Resources Assistant looking to grow along an expanding company? Then this exciting opportunity may be for you. Enjoy a positive work environment as you handle a variety of personnel related administrative tasks, as well as provide clerical support to the HR department and employees regarding human resources related activities, policies, processes, and procedures. The ideal candidate would be highly-skilled and motivated to succeed. Offered on a short-term temporary basis, this HR Assistant position is a great opportunity for someone looking to gain experience in the industry within the Eden Prairie, Minnesota area.

How you will make an impact

- Participate in planning new employee orientation meetings

- Perform various administrative duties

- Research the internet to locate potential customers

- Preside over employee database records 
 - Approachable and appropriate demeanor when interacting with all levels of staff in a rapidly changing environment

- Desire to thrive in scenarios of team-based work or independent tasks, always looking to learn more and take initiative on a number of different projects and tasks

- Familiar with office applications and software, as well as Human Resource Information Systems (HRIS)

- Prior experience handling confidential business matters and information with discretion

- Excellent communication skills (written and verbal)

- Command of Microsoft Excel

- Microsoft Word experience desired



If you are a self-starter who is passionate about supporting a dynamic and growing company, we would love to hear from you! Contact us now - this position is available and will be staffed by the end of the week!


If you are interested in this position please contact Jenna O'Rourke via email at [email protected] or call us at 952 831 6020. 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Cash Application Specialist","https://www.roberthalf.com/job/des-moines-wa/cash-application-specialist/04430-9501897044?page=2","Patient Account Representative - Cash Posting for our client. This is an excellent opportunity to gain more knowledge and would be a temporary to full time opportunity. The Patient Account Representative - Cash Posting will need to be able...","Patient Account Representative - Cash Posting for our client. This is an excellent opportunity to gain more knowledge and would be a temporary to full time opportunity. The Patient Account Representative - Cash Posting will need to be able to handle a high volume of cash posting in a fast paced environment. 

PURPOSE AND SCOPE: 
The Patient Account Representative - Cash Posting provides administrative support to the cash posting operations within the assigned function(s). The incumbent performs the timely and accurate posting of electronic and manual cash receipts, denials and adjustments to patient accounts. 

PRINCIPAL DUTIES AND RESPONSIBILITIES: 
Under general supervision, post routine electronic and manual cash receipts, adjustments and denials; ensuring reconciliation of all posted data,
Balance electronic and manual cash receipts through the generation and analysis of necessary reports; resolving outstanding variances, errors and issues, 
Refer to assigned work lists in the identification and resolution of routine transactions within the assigned function(s), 
Perform all responsibilities in compliance with company policies and procedures, 
Assist with various projects as assigned by direct supervisor.
Other duties as assigned. 
 EDUCATION:
High School Diploma required 

EXPERIENCE AND REQUIRED SKILLS: 
Good computer skills with working knowledge of word processing spreadsheet and email applications, 
Detail oriented with good analytical and organizational skills, 
Good interpersonal skills with the ability to work cohesively within a team environment, 
Excellent oral and written communication skills to effectively communicate with all levels of management. 

If interested please email a current copy of your resume to [email protected] 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
